,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
15688,09/01/2021,PA,1303468,1086144.0,217324.0,3100,501.0,28235,,,0,-51.0,09/02/2021 01:49:05 PM,Agree,Not agree
15711,03/01/2021,SD,112470,,,43,6.0,1888,1531.0,357.0,0,0.0,03/02/2021 02:54:47 PM,,Agree
15762,07/01/2021,SD,124561,,,25,2.0,2038,1660.0,378.0,3,0.0,07/02/2021 01:55:07 PM,,Agree
15810,04/01/2021,IA,351795,,,796,170.0,5751,,,8,8.0,04/02/2021 01:56:15 PM,Not agree,Not agree
15887,03/01/2021,IA,336647,,,318,77.0,5472,,,1,1.0,03/02/2021 02:54:47 PM,Not agree,Not agree
15890,04/01/2021,RMI,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,04/02/2021 01:56:15 PM,Agree,Agree
15891,07/01/2021,IA,374009,,,148,34.0,6140,,,2,2.0,07/02/2021 01:55:07 PM,Not agree,Not agree
15988,06/01/2021,NY,1151435,,,215,0.0,19788,,,8,0.0,06/02/2021 02:35:40 PM,Not agree,Not agree
16014,01/01/2021,TN,612160,533062.0,79098.0,6166,1942.0,7876,6647.0,1229.0,99,26.0,12/31/2020 12:00:00 AM,Agree,Agree
16016,06/01/2021,OH,1102556,922959.0,179597.0,312,55.0,19861,19861.0,0.0,0,0.0,06/02/2021 02:35:40 PM,Agree,Agree
16217,05/01/2021,TN,845403,698856.0,146547.0,797,279.0,12226,9834.0,2392.0,10,3.0,04/30/2021 12:00:00 AM,Agree,Agree
16305,09/01/2021,OH,1228002,1016992.0,211010.0,7102,2281.0,20866,20866.0,0.0,0,0.0,09/02/2021 01:49:05 PM,Agree,Agree
16308,01/01/2021,NY,559358,,,11204,0.0,12701,,,135,0.0,01/02/2021 02:50:51 PM,Not agree,Not agree
16427,09/01/2021,TN,1082291,865141.0,217150.0,6296,2504.0,13624,10975.0,2649.0,36,6.0,08/31/2021 12:00:00 AM,Agree,Agree
